,id,name,timezone,label,lat,lon,insee,region,label_region,id_region,zip_code
0,stop_area:SNCF:87405944,St-Maurice-sur-Moselle Mairie,Europe/Paris,St-Maurice-sur-Moselle Mairie (Saint-Maurice-sur-Moselle),47.859186,6.825576,88426,Saint-Maurice-sur-Moselle,Saint-Maurice-sur-Moselle (88560),admin:fr:88426,88560
1,stop_area:SNCF:87240200,ST-PANTALEON RD 541,Europe/Paris,ST-PANTALEON RD 541 (Saint-Pantaléon-les-Vignes),44.396827,5.043832,26322,Saint-Pantaléon-les-Vignes,Saint-Pantaléon-les-Vignes (26770),admin:fr:26322,26770
2,stop_area:SNCF:87591859,St-Quentin-en-Yvelines - Noctilien,Europe/Paris,St-Quentin-en-Yvelines - Noctilien (Montigny-le-Bretonneux),48.78035,2.027347,78423,Montigny-le-Bretonneux,Montigny-le-Bretonneux (78180),admin:fr:78423,78180
3,stop_area:SNCF:87164780,Stade de France - Saint-Denis,Europe/Paris,Stade de France - Saint-Denis (Saint-Denis),48.91779,2.35134,93066,Saint-Denis,Saint-Denis (93200),admin:fr:93066,93200
4,stop_area:SNCF:87182691,Staffelfelden,Europe/Paris,Staffelfelden (Staffelfelden),47.827618,7.265018,68321,Staffelfelden,Staffelfelden (68850),admin:fr:68321,68850
5,stop_area:SNCF:87697334,Stains - La Cerisaie,Europe/Paris,Stains - La Cerisaie (Stains),48.954704,2.392189,93072,Stains,Stains (93240),admin:fr:93072,93240
6,stop_area:SNCF:87640870,Ste-Croix Sq. G. de Gaulle,Europe/Paris,Ste-Croix Sq. G. de Gaulle (Sainte-Croix-aux-Mines),48.261131,7.218907,68294,Sainte-Croix-aux-Mines,Sainte-Croix-aux-Mines (68160),admin:fr:68294,68160
7,stop_area:SNCF:87640854,Ste-Croix-aux-Mines Stimbach,Europe/Paris,Ste-Croix-aux-Mines Stimbach (Sainte-Croix-aux-Mines),48.265375,7.235371,68294,Sainte-Croix-aux-Mines,Sainte-Croix-aux-Mines (68160),admin:fr:68294,68160
8,stop_area:SNCF:87641027,Ste-Marguerite - Cora,Europe/Paris,Ste-Marguerite - Cora (Sainte-Marguerite),48.273751,6.967577,88424,Sainte-Marguerite,Sainte-Marguerite (88100),admin:fr:88424,88100
9,stop_area:SNCF:87640912,Ste-Marie-aux-M S. Techniques,Europe/Paris,Ste-Marie-aux-M S. Techniques (Sainte-Marie-aux-Mines),48.252047,7.194723,68298,Sainte-Marie-aux-Mines,Sainte-Marie-aux-Mines (68160),admin:fr:68298,68160
10,stop_area:SNCF:87640920,Ste-Marie-aux-Mines Espace Musées,Europe/Paris,Ste-Marie-aux-Mines Espace Musées (Sainte-Marie-aux-Mines),48.248889,7.188331,68298,Sainte-Marie-aux-Mines,Sainte-Marie-aux-Mines (68160),admin:fr:68298,68160
11,stop_area:SNCF:87640938,Ste-Marie-aux-Mines Mairie,Europe/Paris,Ste-Marie-aux-Mines Mairie (Sainte-Marie-aux-Mines),48.245575,7.18224,68298,Sainte-Marie-aux-Mines,Sainte-Marie-aux-Mines (68160),admin:fr:68298,68160
12,stop_area:SNCF:87640961,Ste-Marie-aux-Mines Super U,Europe/Paris,Ste-Marie-aux-Mines Super U (Sainte-Marie-aux-Mines),48.248212,7.189329,68298,Sainte-Marie-aux-Mines,Sainte-Marie-aux-Mines (68160),admin:fr:68298,68160
13,stop_area:SNCF:87640953,Ste-Marie-aux-Mines Théâtre,Europe/Paris,Ste-Marie-aux-Mines Théâtre (Sainte-Marie-aux-Mines),48.243805,7.180613,68298,Sainte-Marie-aux-Mines,Sainte-Marie-aux-Mines (68160),admin:fr:68298,68160
14,stop_area:SNCF:87640946,Ste-Marie-aux-Ms P. de Gaulle,Europe/Paris,Ste-Marie-aux-Ms P. de Gaulle (Sainte-Marie-aux-Mines),48.243631,7.176407,68298,Sainte-Marie-aux-Mines,Sainte-Marie-aux-Mines (68160),admin:fr:68298,68160
15,stop_area:SNCF:87342295,Steenbecque,Europe/Paris,Steenbecque (Steenbecque),50.681445,2.510593,59578,Steenbecque,Steenbecque (59189),admin:fr:59578,59189
16,stop_area:SNCF:87286161,Steenwerck,Europe/Paris,Steenwerck (Bailleul),50.712787,2.786562,59043,Bailleul,Bailleul (59270),admin:fr:59043,59270
17,stop_area:SNCF:87212209,Steinbourg,Europe/Paris,Steinbourg (Steinbourg),48.763529,7.416299,67478,Steinbourg,Steinbourg (67790),admin:fr:67478,67790
18,stop_area:SNCF:80359331,Steinfeld (Pfalz),Europe/Paris,Steinfeld (Pfalz) (Steinfeld),49.044722,8.039444,,Steinfeld,Steinfeld,admin:osm:relation:1252833,
19,stop_area:SNCF:87212126,Stephansfeld,Europe/Paris,Stephansfeld (Brumath),48.717587,7.704595,67067,Brumath,Brumath (67170),admin:fr:67067,67170
20,stop_area:SNCF:87654590,Stephansfeld Hôpital,Europe/Paris,Stephansfeld Hôpital (Brumath),48.717012,7.706163,67067,Brumath,Brumath (67170),admin:fr:67067,67170
21,stop_area:SNCF:87212027,Strasbourg,Europe/Paris,Strasbourg (Strasbourg),48.584532,7.734793,67482,Strasbourg,Strasbourg (67000-67200),admin:fr:67482,67000;67200
22,stop_area:SNCF:87212191,Strasbourg Roethig,Europe/Paris,Strasbourg Roethig (Lingolsheim),48.563303,7.69485,67267,Lingolsheim,Lingolsheim (67380),admin:fr:67267,67380
